"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"iqtig-mammachirurgie-181","iqtig-mammachirurgie-181","","","",0,*,"","","","null {[]} {[]}
","IQTIG QS 18.1 Mammachirurgie (Logical Model)","Logisches Modell des IQTIG-Datensatzes fuer das QS-Verfahren 18.1 Mammachirurgie
(Spezifikation 2024 V05).

Der Datensatz besteht aus drei Teildatensaetzen:
- Teildatensatz Basis (B): Patienten- und Falldaten
- Teildatensatz Brust (BRUST): Brustspezifische Diagnose- und Befunddaten
- Teildatensatz Operation (O): Operation, Histologie, Pathologie, Resektionsstatus

Dieses Modell dient als Zielstruktur der FHIR StructureMaps fuer die Ableitung
einer IQTIG-konformen QS-Meldung aus einem Senologie-FHIR-Bundle. Die
Serialisierung (CSV / XML) ist nicht Bestandteil dieses Modells.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis","iqtig-mammachirurgie-181.teildatensatzBasis","","","",1,1,"","","","BackboneElement {[]} {[]}
","Teildatensatz Basis (B)","Patienten- und Falldaten","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"iqtig-mammachirurgie-181.teildatensatzBasis.id","iqtig-mammachirurgie-181.teildatensatzBasis.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.extension","iqtig-mammachirurgie-181.teildatensatzBasis.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"iqtig-mammachirurgie-181.teildatensatzBasis.modifierExtension","iqtig-mammachirurgie-181.teildatensatzBasis.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"iqtig-mammachirurgie-181.teildatensatzBasis.institutionskennzeichen","iqtig-mammachirurgie-181.teildatensatzBasis.institutionskennzeichen","","","",1,1,"","","","string {[]} {[]}
","B:IKNRKH","Institutionskennzeichen (IKNR) der Einrichtung (9-stellig)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.institutionskennzeichen",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.entlassenderStandort","iqtig-mammachirurgie-181.teildatensatzBasis.entlassenderStandort","","","",0,1,"","","","string {[]} {[]}
","B:ENTLSTANDORT","Standortkennung des entlassenden Krankenhauses (Standort-ID)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.entlassenderStandort",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.betriebsstaettennummer","iqtig-mammachirurgie-181.teildatensatzBasis.betriebsstaettennummer","","","",0,1,"","","","string {[]} {[]}
","B:BSNR","Betriebsstaettennummer (BSNR) bei ambulanter Leistung","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.betriebsstaettennummer",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.pseudonymId","iqtig-mammachirurgie-181.teildatensatzBasis.pseudonymId","","","",1,1,"","","","string {[]} {[]}
","B:VERSICHERTENIDNEU","Patientenpseudonym / Versicherten-ID (pseudonymisiert)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.pseudonymId",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.fallId","iqtig-mammachirurgie-181.teildatensatzBasis.fallId","","","",1,1,"","","","string {[]} {[]}
","B:VORGANGSNR","Vorgangsnummer / Fall-ID (eindeutige Kennung pro Fall)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.fallId",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.datensatzVersion","iqtig-mammachirurgie-181.teildatensatzBasis.datensatzVersion","","","",1,1,"","","","string {[]} {[]}
","B:DS_VERSION","Version des Datensatzes (z.B. 18.1_2024_V05)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.datensatzVersion",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.geburtsdatum","iqtig-mammachirurgie-181.teildatensatzBasis.geburtsdatum","","","",1,1,"","","","date {[]} {[]}
","B:GEBDATUM","Geburtsdatum der Patientin / des Patienten","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.geburtsdatum",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.geschlecht","iqtig-mammachirurgie-181.teildatensatzBasis.geschlecht","","","",1,1,"","","","code {[]} {[]}
","B:GESCHLECHT","Geschlecht: 1=maennlich, 2=weiblich, 8=X, 9=unbestimmt","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.geschlecht",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.postleitzahl","iqtig-mammachirurgie-181.teildatensatzBasis.postleitzahl","","","",0,1,"","","","string {[]} {[]}
","B:PLZ","Postleitzahl des Wohnorts (5-stellig)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.postleitzahl",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmedatum","iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmedatum","","","",1,1,"","","","date {[]} {[]}
","B:AUFNDATUM","Aufnahmedatum in die behandelnde Einrichtung","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmedatum",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmegrund","iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmegrund","","","",0,1,"","","","code {[]} {[]}
","B:AUFNGRUND","Aufnahmegrund nach Paragraph 301 SGB V (4-stellig)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmegrund",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmeanlass","iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmeanlass","","","",0,1,"","","","code {[]} {[]}
","B:AUFNANLASS","Aufnahmeanlass: E=Einweisung, N=Notfall, V=Verlegung, G=Geburt, ...","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.aufnahmeanlass",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.einwilligungDatenuebermittlung","iqtig-mammachirurgie-181.teildatensatzBasis.einwilligungDatenuebermittlung","","","",0,1,"","","","code {[]} {[]}
","B:EINWLANDESGBA","Einwilligung zur Datenuebermittlung an Landesstelle/G-BA (0=nein, 1=ja, 9=unbekannt)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.einwilligungDatenuebermittlung",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsdatum","iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsdatum","","","",1,1,"","","","date {[]} {[]}
","B:ENTLDATUM","Entlassungsdatum aus der Einrichtung","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsdatum",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsgrund","iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsgrund","","","",0,1,"","","","code {[]} {[]}
","B:ENTLGRUND","Entlassungs-/Verlegungsgrund nach Paragraph 301 SGB V","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBasis.entlassungsgrund",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust","iqtig-mammachirurgie-181.teildatensatzBrust","","","",1,*,"","","","BackboneElement {[]} {[]}
","Teildatensatz Brust (BRUST)","Brustspezifische Diagnose- und Befunddaten; ein Eintrag je behandelter Seite","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"iqtig-mammachirurgie-181.teildatensatzBrust.id","iqtig-mammachirurgie-181.teildatensatzBrust.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.extension","iqtig-mammachirurgie-181.teildatensatzBrust.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"iqtig-mammachirurgie-181.teildatensatzBrust.modifierExtension","iqtig-mammachirurgie-181.teildatensatzBrust.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"iqtig-mammachirurgie-181.teildatensatzBrust.laufendeNummer","iqtig-mammachirurgie-181.teildatensatzBrust.laufendeNummer","","","",1,1,"","","","positiveInt {[]} {[]}
","BRUST:LNRBRUST","Laufende Nummer des Brust-Teildatensatzes (Zuordnung zu Operation)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.laufendeNummer",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.seitenlokalisation","iqtig-mammachirurgie-181.teildatensatzBrust.seitenlokalisation","","","",1,1,"","","","code {[]} {[]}
","BRUST:SEITE","Seitenlokalisation: R=rechts, L=links, B=beidseits","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.seitenlokalisation",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.indikation","iqtig-mammachirurgie-181.teildatensatzBrust.indikation","","","",1,1,"","","","code {[]} {[]}
","BRUST:INDIKATION","Indikation des Eingriffs: 1=maligne, 2=DCIS, 3=benigne, 4=Risikoreduktion, 5=Rekonstruktion, 9=sonstige","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.indikation",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD","iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD","","","",0,1,"","","","BackboneElement {[]} {[]}
","BRUST:DIAGICD","ICD-10-GM-Kodierung der Diagnose","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.id","iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.extension","iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.modifierExtension","iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.code","iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.code","","","",1,1,"","","","code {[]} {[]}
","Code","ICD-10-GM-Code (z.B. C50.4)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.code",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.version","iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.version","","","",1,1,"","","","string {[]} {[]}
","Version","ICD-10-GM-Version","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.diagnoseICD.version",1,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.diagnosedatum","iqtig-mammachirurgie-181.teildatensatzBrust.diagnosedatum","","","",0,1,"","","","date {[]} {[]}
","BRUST:DIAGDATUM","Datum der Erstdiagnose","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.diagnosedatum",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.tumorgroesseKlinisch","iqtig-mammachirurgie-181.teildatensatzBrust.tumorgroesseKlinisch","","","",0,1,"","","","integer {[]} {[]}
","BRUST:TGROESSEKLIN","Praetherapeutische Tumorgroesse in mm (klinisch/bildgebend)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.tumorgroesseKlinisch",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.cT","iqtig-mammachirurgie-181.teildatensatzBrust.cT","","","",0,1,"","","","string {[]} {[]}
","BRUST:CT","klinische T-Kategorie","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.cT",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.cN","iqtig-mammachirurgie-181.teildatensatzBrust.cN","","","",0,1,"","","","string {[]} {[]}
","BRUST:CN","klinische N-Kategorie","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.cN",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.cM","iqtig-mammachirurgie-181.teildatensatzBrust.cM","","","",0,1,"","","","string {[]} {[]}
","BRUST:CM","klinische M-Kategorie","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.cM",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.uiccStadiumKlinisch","iqtig-mammachirurgie-181.teildatensatzBrust.uiccStadiumKlinisch","","","",0,1,"","","","string {[]} {[]}
","BRUST:UICCKLIN","klinisches UICC-Stadium","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.uiccStadiumKlinisch",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.bildgebendeMethode","iqtig-mammachirurgie-181.teildatensatzBrust.bildgebendeMethode","","","",0,*,"","","","code {[]} {[]}
","BRUST:BILDGMETHODE","Eingesetzte bildgebende Methode: 1=Mammografie, 2=Sonografie, 3=MRT, 4=Tomosynthese, 9=sonstige","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.bildgebendeMethode",0,*,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.birads","iqtig-mammachirurgie-181.teildatensatzBrust.birads","","","",0,1,"","","","code {[]} {[]}
","BRUST:BIRADS","BI-RADS-Klassifikation (0-6)","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.birads",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.histologischeSicherungPraeop","iqtig-mammachirurgie-181.teildatensatzBrust.histologischeSicherungPraeop","","","",0,1,"","","","code {[]} {[]}
","BRUST:HISTPRAEOP","Praeoperative histologische Sicherung: 0=nein, 1=Stanzbiopsie, 2=Vakuumbiopsie, 3=FNA, 4=Exzisionsbiopsie, 9=sonstige","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.histologischeSicherungPraeop",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.befundcode","iqtig-mammachirurgie-181.teildatensatzBrust.befundcode","","","",0,1,"","","","code {[]} {[]}
","BRUST:BEFUND","Praeoperativer Befundcode (Pathologie): B1-B5 analog UK-NHSBSP","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.befundcode",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.drahtmarkierung","iqtig-mammachirurgie-181.teildatensatzBrust.drahtmarkierung","","","",0,1,"","","","code {[]} {[]}
","BRUST:DRAHT","Praeoperative Drahtmarkierung/Lokalisation: 0=keine, 1=Mammografie, 2=Sonografie, 3=MRT, 9=sonstige","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.drahtmarkierung",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.neoadjuvanteTherapie","iqtig-mammachirurgie-181.teildatensatzBrust.neoadjuvanteTherapie","","","",0,1,"","","","code {[]} {[]}
","BRUST:NEOADJ","Neoadjuvante Therapie erhalten: 0=nein, 1=ja-Chemotherapie, 2=ja-endokrin, 3=ja-Antikoerper, 9=sonstige","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.neoadjuvanteTherapie",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzBrust.tumorkonferenzPraeop","iqtig-mammachirurgie-181.teildatensatzBrust.tumorkonferenzPraeop","","","",0,1,"","","","code {[]} {[]}
","BRUST:TKPRAEOP","Praetherapeutische Tumorkonferenzempfehlung vorhanden: 0=nein, 1=ja, 9=unbekannt","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzBrust.tumorkonferenzPraeop",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzOperation","iqtig-mammachirurgie-181.teildatensatzOperation","","","",1,*,"","","","BackboneElement {[]} {[]}
","Teildatensatz Operation (O)","Daten zur operativen Behandlung; ein Eintrag je Eingriff","","","","","","","","","",,,,,"",,,,"iqtig-mammachirurgie-181.teildatensatzOperation",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"iqtig-mammachirurgie-181.teildatensatzOperation.id","iqtig-mammachirurgie-181.teildatensatzOperation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"iqtig-mammachirurgie-181.teildatensatzOperation.extension","iqtig-mammachirurgie-181.teildatensatzOperation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
