URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/icd-10-gm,1.5.4,active,,ICD10GMVS,ICD10GM ValueSet,"ICD-10-GM","StructureDefinition/senologie-operation","de.basisprofil.r4"
http://fhir.de/ValueSet/lebensphase-de,1.5.4,active,,ValueSetLebensphaseDe,LebensphaseDe ValueSet,"Dieses Valueset enthält Snomedcodes zur Angabe der Lebensphase","StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","SCT"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/senologie-familienanamnese","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/adverse-event-actuality,4.0.1,draft,"2.16.840.1.113883.4.642.3.831",AdverseEventActuality,AdverseEventActuality,"Overall nature of the adverse event, e.g. real or potential.","StructureDefinition/senologie-nebenwirkung","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/adverse-event-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.833",AdverseEventCategory,AdverseEventCategory,"Overall categorization of the event, e.g. product-related or situational.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-causality-assess,4.0.1,draft,"2.16.840.1.113883.4.642.3.840",AdverseEventCausalityAssessment,AdverseEventCausalityAssessment,"Codes for the assessment of whether the entity caused the event.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-causality-method,4.0.1,draft,"2.16.840.1.113883.4.642.3.842",AdverseEventCausalityMethod,AdverseEventCausalityMethod,"TODO.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.836",AdverseEventOutcome,AdverseEventOutcome,"TODO (and should this be required?).","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.844",AdverseEventSeverity,AdverseEventSeverity,"The severity of the adverse event itself, in direct relation to the subject.","StructureDefinition/senologie-nebenwirkung","THO"
http://hl7.org/fhir/ValueSet/adverse-event-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.835",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all SNOMED CT Clinical Findings.","StructureDefinition/senologie-nebenwirkung","SCT"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/senologie-pathologie-praeparat,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-operation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-tumorlokalisation,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-sozialdienst,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-diagnose-maligne,StructureDefinition/senologie-op-planung,StructureDefinition/senologie-pdl1-status,StructureDefinition/senologie-somatische-mutation","SCT"
http://hl7.org/fhir/ValueSet/bodystructure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.142",SNOMEDCTMorphologicAbnormalities,SNOMED CT Morphologic Abnormalities,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/senologie-tumorlokalisation","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.145",CarePlanActivityKind,Care Plan Activity Kind,"Resource types defined as part of FHIR that can be represented as in-line definitions of a care plan activity.","StructureDefinition/senologie-tumorboard-empfehlung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-activity-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.149",CarePlanActivityOutcome,Care Plan Activity Outcome,"Example codes indicating the outcome of a care plan activity. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/senologie-tumorboard-empfehlung","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.146",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","StructureDefinition/senologie-tumorboard-empfehlung","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/senologie-tumorboard-empfehlung","SCT"
http://hl7.org/fhir/ValueSet/care-plan-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.150",CarePlanIntent,Care Plan Intent,"Codes indicating the degree of authority/intentionality associated with a care plan.","StructureDefinition/senologie-tumorboard-empfehlung","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/senologie-familienanamnese,StructureDefinition/senologie-pathologie-befund,StructureDefinition/senologie-bildgebung-sonstige,StructureDefinition/senologie-tumorboard-empfehlung,StructureDefinition/senologie-bildgebung-befund","SCT"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/senologie-pathologie-praeparat,StructureDefinition/senologie-operation,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-pathologie-befund,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-diagnose-maligne,StructureDefinition/senologie-tumorlokalisation,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-nebenwirkung,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-pdl1-status","THO"
http://hl7.org/fhir/ValueSet/condition-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.162",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/senologie-familienanamnese,StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-operation,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-diagnose-maligne,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-sozialdienst,StructureDefinition/senologie-begleitmedikation","SCT"
http://hl7.org/fhir/ValueSet/condition-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.967",ConditionOutcomeCodes,Condition Outcome Codes,"Example value set for condition outcomes.","StructureDefinition/senologie-familienanamnese","SCT"
http://hl7.org/fhir/ValueSet/condition-predecessor,5.3.0-ballot-tc1,active,"2.16.840.1.113883.4.642.2.377,2.16.840.1.113883.4.642.3.966,2.16.840.1.113883.4.642.3.880",ConditionPredecessorCodes,Condition Predecessor Codes,"Example value set for condition predecessor codes.","StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-pdl1-status","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/senologie-systemtherapie-medikation","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/device-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.425",ProcedureDeviceActionCodes,Procedure Device Action Codes,"Example codes indicating the change that happened to the device during the procedure.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-operation,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-sozialdienst","SCT"
http://hl7.org/fhir/ValueSet/device-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.208",FHIRDeviceTypes,FHIR Device Types,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-operation,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-sozialdienst","SCT"
http://hl7.org/fhir/ValueSet/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","StructureDefinition/senologie-implantat","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.209",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","StructureDefinition/senologie-implantat","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/device-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1081",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","StructureDefinition/senologie-implantat","THO"
http://hl7.org/fhir/ValueSet/device-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.1376",DeviceType,Device Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/senologie-implantat","SCT"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.235",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","StructureDefinition/senologie-pathologie-befund,StructureDefinition/senologie-bildgebung-sonstige,StructureDefinition/senologie-bildgebung-befund","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/diagnostic-service-sections,4.0.1,draft,"2.16.840.1.113883.4.642.3.234",DiagnosticServiceSectionCodes,Diagnostic Service Section Codes,"This value set includes all the codes in HL7 V2 table 0074.","StructureDefinition/senologie-bildgebung-sonstige,StructureDefinition/senologie-bildgebung-befund","THO (V2)"
http://hl7.org/fhir/ValueSet/dose-rate-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.981",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","THO"
http://hl7.org/fhir/ValueSet/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-operation,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-sozialdienst","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.3.75",EventTiming,EventTiming,"Real world event relating to the schedule.","StructureDefinition/senologie-systemtherapie-medikation","THO (V3),hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/history-absent-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.269",FamilyHistoryAbsentReason,FamilyHistoryAbsentReason,"Codes describing the reason why a family member's history is not available.","StructureDefinition/senologie-familienanamnese","THO"
http://hl7.org/fhir/ValueSet/history-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.267",FamilyHistoryStatus,FamilyHistoryStatus,"A code that identifies the status of the family history record.","StructureDefinition/senologie-familienanamnese","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/senologie-pathologie-praeparat,StructureDefinition/senologie-pathologie-befund","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/senologie-pathologie-praeparat,StructureDefinition/senologie-pathologie-befund","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/senologie-pathologie-praeparat,StructureDefinition/senologie-operation,StructureDefinition/senologie-follow-up,StructureDefinition/senologie-gynaekologische-anamnese,StructureDefinition/senologie-sozialdienst,StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-checkliste-erbliche-belastung,StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-pathologie-befund,StructureDefinition/senologie-genexpressions-score,StructureDefinition/senologie-diagnose-maligne,StructureDefinition/senologie-nebenwirkung,StructureDefinition/senologie-op-planung,StructureDefinition/senologie-pdl1-status,StructureDefinition/senologie-familienanamnese,StructureDefinition/senologie-operative-komplikation,StructureDefinition/senologie-bildgebung-observation,StructureDefinition/senologie-tumorlokalisation,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-klinische-untersuchung,StructureDefinition/senologie-tumorboard-empfehlung,StructureDefinition/senologie-ki67-proliferationsindex,StructureDefinition/senologie-implantat,StructureDefinition/senologie-psychoonkologie,StructureDefinition/senologie-genexpressionstest,StructureDefinition/senologie-studienteilnahme,StructureDefinition/senologie-systemtherapie-procedure,StructureDefinition/senologie-strahlentherapie,StructureDefinition/senologie-bildgebung-sonstige,StructureDefinition/senologie-bildgebung-befund,StructureDefinition/senologie-somatische-mutation,StructureDefinition/senologie-begleitmedikation","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/senologie-diagnose-benigne,StructureDefinition/senologie-diagnose-maligne","SCT"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation,StructureDefinition/senologie-op-planung","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/senologie-geplante-systemtherapie,StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-tumorboard-empfehlung","SCT"
http://hl7.org/fhir/ValueSet/medication-statement-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.370",Medication usage category codes,Medication usage category codes,"Medication Status Codes","StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","THO"
http://hl7.org/fhir/ValueSet/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.367",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/senologie-systemtherapie-medikation,StructureDefinition/senologie-begleitmedikation","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/medicationrequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1322",medicationRequest Category Codes,Medication request  category  codes,"MedicationRequest Category Codes","StructureDefinition/senologie-geplante-systemtherapie","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1326",medicationRequest Course of Therapy Codes,Medication request  course of  therapy  codes,"MedicationRequest Course of Therapy Codes","StructureDefinition/senologie-geplante-systemtherapie","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.1321",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","StructureDefinition/senologie-geplante-systemtherapie","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1320",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","StructureDefinition/senologie-geplante-systemtherapie","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/medicationrequest-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1324",medicationRequest Status Reason Codes,Medication request  status  reason  codes,"MedicationRequest Status Reason Codes","StructureDefinition/senologie-geplante-systemtherapie","THO"
